AcquisitionID,AcquisitionMonth,AcquisitionMonthDate,AcquisitionYear,Company,Value (USD),ParentCompany
ACQ654,October,31,2006,JotSpot,,Google
ACQ653,November,16,2006,Bix.com,,Yahoo
ACQ652,November,17,2006,Kenet Works,25000000,Yahoo
ACQ651,December,,2006,Wretch,22000000,Yahoo
ACQ650,December,4,2006,Proximity,,Apple
ACQ65,July,12,2016,Kifi,,Google
ACQ649,December,18,2006,Endoxon,28000000,Google
ACQ648,January,8,2007,MyBlogLog,,Yahoo
ACQ647,January,22,2007,"Consul Risk Management, Inc.",,IBM
ACQ646,Feburary,13,2007,Vallent Corporation,,IBM
ACQ645,February,16,2007,Adscape,23000000,Google
ACQ644,March,1,2007,Softek Storage Solutions Corporation,,IBM
ACQ643,March,9,2007,Medstory,,Microsoft
ACQ642,March,16,2007,Trendalyzer,,Google
ACQ641,March,18,2007,"BlackDot Networks, Inc.",,IBM
ACQ640,March,26,2007,devBiz Business Solutions,,Microsoft
ACQ64,July,27,2016,LaunchKit,,Google
ACQ639,April,13,2007,DoubleClick,3100000000,Google
ACQ638,April,17,2007,Tonic Systems,,Google
ACQ637,April,19,2007,Marratech,15000000,Google
ACQ636,April,20,2007,Unicible,460000000,IBM
ACQ635,April,29,2007,Right Media,850000000,Yahoo
ACQ634,May,3,2007,Tellme Networks,,Microsoft
ACQ633,May,3,2007,ScreenTonic,,Microsoft
ACQ632,May,9,2007,SoftArtisans,,Microsoft
ACQ631,May,11,2007,GreenBorder,,Google
ACQ630,May,28,2007,Crusix,,Google
ACQ63,August,5,2016,Turi,200000000,Apple
ACQ629,June,1,2007,Panoramio,,Google
ACQ628,June,3,2007,FeedBurner,100000000,Google
ACQ627,June,4,2007,Engyro,,Microsoft
ACQ626,June,5,2007,PeakStream,,Google
ACQ625,June,7,2007,Stratature,,Microsoft
ACQ624,June,19,2007,Zenter,,Google
ACQ623,June,20,2007,Rivals.com,,Yahoo
ACQ622,June,29,2007,Savvis Inc-Data Centers,200000000,Microsoft
ACQ621,July,2,2007,GrandCentral,45000000,Google
ACQ620,July,9,2007,Postini,625000000,Google
ACQ62,August,8,2016,Beam (now known as Mixer),,Microsoft
ACQ619,July,19,2007,Parakey,,Facebook
ACQ618,July,20,2007,ImageAmerica,,Google
ACQ617,July,20,2007,Watchfire Corporation,,IBM
ACQ616,August,13,2007,aQuantive,6333000000,Microsoft
ACQ615,August,13,2007,AdECN,,Microsoft
ACQ614,August,21,2007,WebDialogs,,IBM
ACQ613,August,31,2007,DataMirror Corporation,161000000,IBM
ACQ612,September,4,2007,BlueLithium,300000000,Yahoo
ACQ611,September,7,2007,"Qinnova, Inc.",,IBM
ACQ610,September,10,2007,"Princeton Softech, Inc.",,IBM
ACQ61,August,8,2016,Orbitera,100000000,Google
ACQ609,September,14,2007,BuzzTracker,,Yahoo
ACQ608,September,17,2007,Zimbra,350000000,Yahoo
ACQ607,September,27,2007,Zingku,,Google
ACQ606,October,2,2007,Jellyfish.com,,Microsoft
ACQ605,October,5,2007,Parlano,,Microsoft
ACQ604,October,9,2007,Jaiku,,Google
ACQ603,October,24,2007,NovusCG,,IBM
ACQ602,October,29,2007,Global Care Solutions-Assets,,Microsoft
ACQ601,November,1,2007,HOB Business Solutions,,Microsoft
ACQ600,November,15,2007,Musiwave,,Microsoft
ACQ60,August,20,2016,Genee,,Microsoft
ACQ6,January,2,2018,Buddybuild,,Apple
ACQ599,December,12,2007,Multimap.com,,Microsoft
ACQ598,January,2,2008,XIV,300000000,IBM
ACQ597,January,18,2008,AptSoft Corporation,,IBM
ACQ596,January,22,2008,Calista Technologies,,Microsoft
ACQ595,January,29,2008,Solid Information Technology,,IBM
ACQ594,January,31,2008,Arsenal Digital Solutions,,IBM
ACQ593,January,31,2008,Cognos,5000000000,IBM
ACQ592,February,5,2008,FoxyTunes,,Yahoo
ACQ591,February,7,2008,Caligari Corporation,,Microsoft
ACQ590,February,12,2008,Maven Networks,160000000,Yahoo
ACQ59,August,22,2016,Gliimpse,,Apple
ACQ589,Feburary,15,2008,Net Integration Technologies Inc.,,IBM
ACQ588,February,27,2008,YaData,,Microsoft
ACQ587,March,11,2008,"Encentuate, Inc.",,IBM
ACQ586,March,14,2008,Rapt,,Microsoft
ACQ585,March,19,2008,Komoku,5000000,Microsoft
ACQ584,March,31,2008,90 Degree Software,,Microsoft
ACQ583,April,3,2008,Telelogic AB,845000000,IBM
ACQ582,April,14,2008,Farecast,75000000,Microsoft
ACQ581,April,15,2008,Danger,500000000,Microsoft
ACQ580,April,18,2008,Diligent Technologies,200000000,IBM
ACQ58,September,8,2016,Apigee,625000000,Google
ACQ579,April,21,2008,FilesX,,IBM
ACQ578,April,24,2008,P.A. Semi,278000000,Apple
ACQ577,April,25,2008,Fast Search & Transfer,1191000000,Microsoft
ACQ576,April,29,2008,InfoDyne Corporation,,IBM
ACQ575,May,9,2008,Inquisitor,,Yahoo
ACQ574,May,26,2008,Kidaro,,Microsoft
ACQ573,June,4,2008,Quadreon,,Microsoft
ACQ572,June,18,2008,Navic Networks,,Microsoft
ACQ571,June,23,2008,ConnectU,31000000,Facebook
ACQ570,June,26,2008,Mobicomp,,Microsoft
ACQ57,September,15,2016,Urban Engines,,Google
ACQ569,July,2,2008,Platform Solutions,,IBM
ACQ568,July,15,2008,Summize,,Twitter
ACQ567,July,28,2008,ILOG,340000000,IBM
ACQ566,July,30,2008,Omnisio,15000000,Google
ACQ565,August,11,2008,Powerset,,Microsoft
ACQ564,September,12,2008,TNC,,Google
ACQ563,September,16,2008,DATAllegro,,Microsoft
ACQ562,September,28,2008,Greenfield Online,486000000,Microsoft
ACQ561,November,18,2008,Transitive Corporation,,IBM
ACQ560,November,24,2008,Values of n,,Twitter
ACQ56,September,19,2016,API.AI,,Google
ACQ559,January,15,2009,Outblaze's E-Mail Service Assets,,IBM
ACQ558,March,1,2009,3DV Systems,35000000,Microsoft
ACQ557,May,5,2009,Exeros Assets,,IBM
ACQ556,May,7,2009,BigPark,,Microsoft
ACQ555,June,1,2009,Rosetta Biosoftware,,Microsoft
ACQ554,July,7,2009,Placebase,,Apple
ACQ553,July,22,2009,Xoopit,20000000,Yahoo
ACQ552,July,28,2009,Ounce Labs,,IBM
ACQ551,July,28,2009,SPSS Inc.,1200000000,IBM
ACQ550,August,5,2009,On2,133000000,Google
ACQ55,September,19,2016,Nascent Objects,,Facebook
ACQ549,August,10,2009,FriendFeed,47500000,Facebook
ACQ548,August,25,2009,Maktoob.com,167000000,Yahoo
ACQ547,September,16,2009,reCAPTCHA,,Google
